         2106831 function calls (2106591 primitive calls) in 8.032 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.032    8.032 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:12(__init__)
        1    0.001    0.001    7.976    7.976 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:25(__main)
        1    1.520    1.520    4.457    4.457 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:44(make_noise)
  2097152    2.937    0.000    2.937    0.000 {built-in method noise._perlin.noise3}
        1    0.001    0.001    1.739    1.739 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:122(image_output)
        1    0.000    0.000    1.648    1.648 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2182(show)
        1    0.000    0.000    1.648    1.648 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3152(_show)
        1    0.000    0.000    1.648    1.648 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3157(_showxv)
        1    0.000    0.000    1.646    1.646 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:46(show)
        1    0.000    0.000    1.646    1.646 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:66(show)
        1    0.000    0.000    1.646    1.646 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:105(show_image)
        1    0.000    0.000    1.591    1.591 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:109(show_file)
        1    1.591    1.591    1.591    1.591 {built-in method nt.system}
        1    1.585    1.585    1.585    1.585 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:73(refine_world)
        1    0.136    0.136    0.136    0.136 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:81(add_color)
        2    0.000    0.000    0.130    0.065 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2081(save)
        2    0.000    0.000    0.129    0.065 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:1132(_save)
        2    0.000    0.000    0.129    0.064 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:484(_save)
       35    0.128    0.004    0.128    0.004 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.056    0.056 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:22(load_filter)
        1    0.000    0.000    0.056    0.056 c:\Users\Blair\Documents\Programming\lake-generator\Filter.py:5(__init__)
        1    0.010    0.010    0.056    0.056 c:\Users\Blair\Documents\Programming\lake-generator\Filter.py:11(set_data)
        1    0.000    0.000    0.055    0.055 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:101(save_image)
        1    0.000    0.000    0.055    0.055 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:622(_dump)
        1    0.001    0.001    0.037    0.037 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:67(interpolate)
        1    0.000    0.000    0.031    0.031 <__array_function__ internals>:2(interp)
      2/1    0.000    0.000    0.031    0.031 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.031    0.031 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\lib\function_base.py:1289(interp)
        1    0.031    0.031    0.031    0.031 {built-in method numpy.core._multiarray_umath.interp}
        1    0.000    0.000    0.024    0.024 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:860(convert)
       24    0.022    0.001    0.022    0.001 {method 'decode' of 'ImagingDecoder' objects}
        1    0.000    0.000    0.021    0.021 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:150(load)
        1    0.021    0.021    0.021    0.021 c:\Users\Blair\Documents\Programming\lake-generator\Noisemap.py:62(subtract_filter)
