         8397704 function calls (8397471 primitive calls) in 35.081 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   35.081   35.081 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:23(__init__)
        1    0.001    0.001   35.079   35.079 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:36(__main)
        1   13.865   13.865   26.841   26.841 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:52(make_noise)
  8388608   12.976    0.000   12.976    0.000 {built-in method noise._perlin.noise3}
        1    4.969    4.969    4.969    4.969 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:101(add_color)
        1    0.001    0.001    1.693    1.693 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:138(image_output)
        1    0.000    0.000    1.596    1.596 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2182(show)
        1    0.000    0.000    1.596    1.596 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3152(_show)
        1    0.000    0.000    1.596    1.596 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3157(_showxv)
        1    0.000    0.000    1.593    1.593 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:46(show)
        1    0.000    0.000    1.593    1.593 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:66(show)
        1    0.000    0.000    1.593    1.593 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:105(show_image)
        1    0.000    0.000    1.529    1.529 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:109(show_file)
        1    1.529    1.529    1.529    1.529 {built-in method nt.system}
        1    1.489    1.489    1.489    1.489 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:94(refine_world)
        2    0.000    0.000    0.144    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2081(save)
        2    0.000    0.000    0.143    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:1132(_save)
        2    0.000    0.000    0.143    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:484(_save)
       37    0.143    0.004    0.143    0.004 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.064    0.064 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:101(save_image)
        1    0.000    0.000    0.064    0.064 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:622(_dump)
        1    0.010    0.010    0.050    0.050 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:154(prepare_filter)
        1    0.002    0.002    0.037    0.037 C:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:90(interpolate_world)
        1    0.000    0.000    0.032    0.032 <__array_function__ internals>:2(interp)
      2/1    0.000    0.000    0.032    0.032 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.032    0.032 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\lib\function_base.py:1289(interp)
        1    0.032    0.032    0.032    0.032 {built-in method numpy.core._multiarray_umath.interp}
        1    0.000    0.000    0.021    0.021 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:860(convert)
       17    0.019    0.001    0.019    0.001 {method 'decode' of 'ImagingDecoder' objects}
     19/7    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     41/6    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
