         2106244 function calls (2106011 primitive calls) in 14.284 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.001    0.001   14.284   14.284 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:23(__init__)
        1    0.002    0.002   14.282   14.282 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:36(__main)
        1    3.761    3.761    6.191    6.191 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:52(make_noise)
        1    4.792    4.792    4.792    4.792 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:103(add_color)
  2097152    2.429    0.000    2.429    0.000 {built-in method noise._perlin.noise2}
        1    0.001    0.001    1.769    1.769 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:140(image_output)
        1    0.000    0.000    1.671    1.671 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2182(show)
        1    0.000    0.000    1.671    1.671 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3152(_show)
        1    0.000    0.000    1.671    1.671 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3157(_showxv)
        1    0.000    0.000    1.669    1.669 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:46(show)
        1    0.000    0.000    1.669    1.669 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:66(show)
        1    0.000    0.000    1.669    1.669 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:105(show_image)
        1    0.000    0.000    1.608    1.608 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:109(show_file)
        1    1.608    1.608    1.608    1.608 {built-in method nt.system}
        1    1.438    1.438    1.438    1.438 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:96(refine_world)
        2    0.000    0.000    0.144    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2081(save)
        2    0.000    0.000    0.144    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:1132(_save)
        2    0.000    0.000    0.143    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:484(_save)
       37    0.142    0.004    0.142    0.004 {method 'encode' of 'ImagingEncoder' objects}
        1    0.000    0.000    0.061    0.061 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:101(save_image)
        1    0.000    0.000    0.061    0.061 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:622(_dump)
        1    0.010    0.010    0.049    0.049 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:159(prepare_filter)
        1    0.001    0.001    0.042    0.042 C:\Users\Blair\Documents\Programming\lake-generator\mapGencopy.py:92(interpolate_world)
        1    0.000    0.000    0.036    0.036 <__array_function__ internals>:2(interp)
      2/1    0.000    0.000    0.036    0.036 {built-in method numpy.core._multiarray_umath.implement_array_function}
        1    0.000    0.000    0.036    0.036 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\lib\function_base.py:1289(interp)
        1    0.036    0.036    0.036    0.036 {built-in method numpy.core._multiarray_umath.interp}
        1    0.000    0.000    0.020    0.020 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:860(convert)
       17    0.018    0.001    0.018    0.001 {method 'decode' of 'ImagingDecoder' objects}
     19/7    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap>:1017(_handle_fromlist)
     41/6    0.000    0.000    0.018    0.003 <frozen importlib._bootstrap>:211(_call_with_frames_removed)
     15/6    0.000    0.000    0.018    0.003 {built-in method builtins.__import__}
     23/6    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:986(_find_and_load)
     23/6    0.000    0.000    0.017    0.003 <frozen importlib._bootstrap>:956(_find_and_load_unlocked)
        1    0.000    0.000    0.017    0.017 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:150(load)
     23/6    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap>:650(_load_unlocked)
     20/6    0.000    0.000    0.016    0.003 <frozen importlib._bootstrap_external>:777(exec_module)
        1    0.000    0.000    0.016    0.016 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2839(open)
        3    0.000    0.000    0.015    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:347(preinit)
     20/6    0.000    0.000    0.013    0.002 {built-in method builtins.exec}
       20    0.000    0.000    0.009    0.000 <frozen importlib._bootstrap_external>:849(get_code)
        1    0.008    0.008    0.008    0.008 {method 'astype' of 'numpy.ndarray' objects}
       20    0.000    0.000    0.006    0.000 <frozen importlib._bootstrap_external>:969(get_data)
       20    0.005    0.000    0.005    0.000 {built-in method io.open_code}
        1    0.000    0.000    0.005    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2713(fromarray)
        1    0.000    0.000    0.005    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2660(frombuffer)
        1    0.000    0.000    0.005    0.005 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2616(frombytes)
        2    0.005    0.002    0.005    0.002 {method 'reduce' of 'numpy.ufunc' objects}
        1    0.000    0.000    0.004    0.004 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\JpegImagePlugin.py:34(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\BmpImagePlugin.py:27(<module>)
        1    0.000    0.000    0.004    0.004 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\GifImagePlugin.py:27(<module>)
        2    0.001    0.001    0.004    0.002 {built-in method numpy.array}
        1    0.000    0.000    0.003    0.003 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2577(new)
        1    0.003    0.003    0.003    0.003 {built-in method PIL._imaging.fill}
       23    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap>:890(_find_spec)
        1    0.003    0.003    0.003    0.003 {method 'convert' of 'ImagingCore' objects}
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1334(find_spec)
       20    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1302(_get_spec)
       68    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:80(_path_stat)
       68    0.003    0.000    0.003    0.000 {built-in method nt.stat}
       28    0.000    0.000    0.003    0.000 <frozen importlib._bootstrap_external>:1431(find_spec)
        1    0.000    0.000    0.003    0.003 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImagePalette.py:19(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:675(__array_interface__)
        1    0.000    0.000    0.002    0.002 {method 'min' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\TiffImagePlugin.py:41(<module>)
        1    0.000    0.000    0.002    0.002 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\core\_methods.py:41(_amin)
        1    0.000    0.000    0.002    0.002 {method 'max' of 'numpy.ndarray' objects}
        1    0.000    0.000    0.002    0.002 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\numpy\core\_methods.py:37(_amax)
        1    0.000    0.000    0.002    0.002 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:706(tobytes)
        9    0.000    0.000    0.002    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:970(putchunk)
        5    0.000    0.000    0.002    0.000 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:988(write)
        4    0.000    0.000    0.002    0.000 C:\Python38\lib\re.py:250(compile)
        4    0.000    0.000    0.002    0.000 C:\Python38\lib\re.py:289(_compile)
       20    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:578(_compile_bytecode)
        1    0.000    0.000    0.001    0.001 C:\Python38\lib\subprocess.py:10(<module>)
        4    0.000    0.000    0.001    0.000 C:\Python38\lib\sre_compile.py:759(compile)
       20    0.001    0.000    0.001    0.000 {built-in method marshal.loads}
       29    0.001    0.000    0.001    0.000 {method 'write' of '_io.BufferedRandom' objects}
        1    0.000    0.000    0.001    0.001 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:779(frombytes)
        1    0.000    0.000    0.001    0.001 C:\Python38\lib\fractions.py:4(<module>)
        1    0.000    0.000    0.001    0.001 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:14(<module>)
       44    0.001    0.000    0.001    0.000 {built-in method builtins.__build_class__}
