         2098392 function calls (2098381 primitive calls) in 8.769 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
        1    0.000    0.000    8.769    8.769 c:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:22(__init__)
        1    0.001    0.001    8.769    8.769 c:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:36(__main)
        1    3.933    3.933    6.908    6.908 c:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:52(make_noise)
  2097152    2.975    0.000    2.975    0.000 {built-in method noise._perlin.noise3}
        1    0.001    0.001    1.690    1.690 c:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:131(image_output)
        1    0.000    0.000    1.592    1.592 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2182(show)
        1    0.000    0.000    1.592    1.592 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3152(_show)
        1    0.000    0.000    1.592    1.592 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:3157(_showxv)
        1    0.000    0.000    1.590    1.590 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:46(show)
        1    0.000    0.000    1.590    1.590 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:66(show)
        1    0.000    0.000    1.590    1.590 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:105(show_image)
        1    0.000    0.000    1.530    1.530 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:109(show_file)
        1    1.530    1.530    1.530    1.530 {built-in method nt.system}
        2    0.000    0.000    0.145    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:2081(save)
        2    0.000    0.000    0.144    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\PngImagePlugin.py:1132(_save)
        2    0.000    0.000    0.143    0.072 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageFile.py:484(_save)
        5    0.142    0.028    0.142    0.028 {method 'encode' of 'ImagingEncoder' objects}
        1    0.133    0.133    0.133    0.133 c:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:84(add_color)
        1    0.000    0.000    0.061    0.061 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\ImageShow.py:101(save_image)
        1    0.000    0.000    0.061    0.061 C:\Users\Blair\Documents\Programming\python-environments\noisemap\lib\site-packages\PIL\Image.py:622(_dump)
        1    0.001    0.001    0.036    0.036 c:\Users\Blair\Documents\Programming\lake-generator\mapGen.py:74(interpolate_world)
        1    0.000    0.000    0.032    0.032 <__array_function__ internals>:2(interp)
      2/1    0.000    0.000    0.032    0.032 {built-in method numpy.core._multiarray_umath.implement_array_function}
